train_id,train_station,line,first_station,last_station,planned_departure,actual_departure,delay_minutes,delayed
26825,Köln Hbf,RE1,Aachen Hbf,Hamm(Westf)Hbf,2025-08-08 15:49:00,2025-08-08 15:51:00,2,1
10438,Köln Hbf,RB24,Kall,Köln Messe/Deutz,2025-08-08 16:15:00,2025-08-08 16:16:00,1,1
33111,Köln Hbf,S11,Bergisch Gladbach,Düsseldorf Flughafen Terminal,2025-08-08 16:54:00,2025-08-08 17:07:00,13,1
33219,Köln Hbf,S12,Hennef(Sieg),Horrem,2025-08-08 16:50:00,2025-08-08 16:51:00,1,1
26827,Köln Hbf,RE1,Aachen Hbf,Hamm(Westf)Hbf,2025-08-08 16:49:00,2025-08-08 16:49:00,0,0
2048,Köln Hbf,IC,Bielefeld Hbf,Karlsruhe Hbf,2025-08-08 16:53:00,2025-08-08 16:55:00,2,1
33110,Köln Hbf,S11,Düsseldorf Flughafen Terminal,Bergisch Gladbach,2025-08-08 16:47:00,2025-08-08 16:49:00,2,1
17424,Köln Hbf,RE7,Krefeld Hbf,Rheine,2025-08-08 16:21:00,2025-08-08 16:49:00,28,1
2012,Köln Hbf,IC,Oberstdorf,Dortmund Hbf,2025-08-08 16:47:00,2025-08-08 17:38:00,51,1
28523,Köln Hbf,RE5,Oberhausen Hbf,Koblenz Hbf,2025-08-08 16:32:00,2025-08-08 16:49:00,17,1
201,Köln Hbf,ICE,Hamburg-Altona,Basel SBB,2025-08-08 16:55:00,2025-08-08 17:06:00,11,1
9474,Köln Hbf,EST,Aachen Hbf,Paris Nord,2025-08-08 16:30:00,2025-08-08 16:47:00,17,1
33218,Köln Hbf,S12,Horrem,Hennef(Sieg),2025-08-08 16:51:00,2025-08-08 16:52:00,1,1
30694,Köln Hbf,S6,Düsseldorf Hbf,Köln-Worringen,2025-08-08 16:44:00,2025-08-08 16:47:00,3,1
25433,Köln Hbf,RB26,Köln Messe/Deutz,Mainz Hbf,2025-08-08 16:56:00,2025-08-08 17:10:00,14,1
10040,Köln Hbf,RE22,Kall,Köln Messe/Deutz,2025-08-08 16:42:00,2025-08-08 16:50:00,8,1
28524,Köln Hbf,RE5,Koblenz Hbf,Oberhausen Hbf,2025-08-08 16:31:00,2025-08-08 16:46:00,15,1
17423,Köln Hbf,RE7,Rheine,Krefeld Hbf,2025-08-08 16:41:00,2025-08-08 16:51:00,10,1
653,Köln Hbf,ICE,Wuppertal Hbf,Berlin Ostbahnhof,2025-08-08 16:45:00,2025-08-08 16:46:00,1,1
33108,Köln Hbf,S11,Düsseldorf Flughafen Terminal,Bergisch Gladbach,2025-08-08 16:27:00,2025-08-08 16:45:00,18,1
17351,Köln Hbf,RB48,Wuppertal-Oberbarmen,Bonn-Mehlem,2025-08-08 16:37:00,2025-08-08 16:45:00,8,1
10437,Köln Hbf,RB24,Köln Messe/Deutz,Kall,2025-08-08 16:46:00,2025-08-08 16:46:00,0,0
32003,Köln Hbf,S19,Hennef(Sieg),Düren,2025-08-08 16:40:00,2025-08-08 16:44:00,4,1
32002,Köln Hbf,S19,Düren,Blankenberg(Sieg),2025-08-08 16:41:00,2025-08-08 16:42:00,1,1
33745,Köln Hbf,RB27,Mönchengladbach Hbf,Troisdorf,2025-08-08 16:38:00,2025-08-08 16:41:00,3,1
25428,Köln Hbf,RB26,Mainz Hbf,Köln Messe/Deutz,2025-08-08 16:05:00,2025-08-08 16:40:00,35,1
10555,Köln Hbf,RB25,Lüdenscheid-Brügge,Köln Hansaring,2025-08-08 16:37:00,2025-08-08 16:40:00,3,1
152,Köln Hbf,ICE,Frankfurt(Main)Hbf,Amsterdam Centraal,2025-08-08 16:39:00,2025-08-08 16:39:00,0,0
31607,Köln Hbf,S6,Köln-Worringen,Düsseldorf Hbf,2025-08-08 16:37:00,2025-08-08 16:38:00,1,1
10922,Köln Hbf,RE9,Siegen Hbf,Aachen Hbf,2025-08-08 16:47:00,2025-08-08 16:47:00,0,0
10274,Köln Hbf,RB38,Köln Messe/Deutz,Bedburg(Erft),2025-08-08 16:29:00,2025-08-08 16:36:00,7,1
89724,Köln Hbf,RE6,Minden(Westf),Köln/Bonn Flughafen,2025-08-08 16:52:00,2025-08-08 16:52:00,0,0
33107,Köln Hbf,S11,Bergisch Gladbach,Düsseldorf Flughafen Terminal,2025-08-08 16:34:00,2025-08-08 16:36:00,2,1
17350,Köln Hbf,RB48,Bonn-Mehlem,Wuppertal-Oberbarmen,2025-08-08 16:25:00,2025-08-08 16:34:00,9,1
33216,Köln Hbf,S12,Horrem,Au(Sieg),2025-08-08 16:31:00,2025-08-08 16:33:00,2,1
33215,Köln Hbf,S12,Au(Sieg),Horrem,2025-08-08 16:30:00,2025-08-08 16:33:00,3,1
26822,Köln Hbf,RE1,Hamm(Westf)Hbf,Aachen Hbf,2025-08-08 16:15:00,2025-08-08 16:32:00,17,1
10051,Köln Hbf,RE22,Köln Messe/Deutz,Kall,2025-08-08 16:21:00,2025-08-08 16:28:00,7,1
32000,Köln Hbf,S19,Düren,Hennef(Sieg),2025-08-08 16:21:00,2025-08-08 16:28:00,7,1
33105,Köln Hbf,S11,Bergisch Gladbach,Düsseldorf Flughafen Terminal,2025-08-08 16:14:00,2025-08-08 16:28:00,14,1
10271,Köln Hbf,RB38,Bedburg(Erft),Köln Messe/Deutz,2025-08-08 16:30:00,2025-08-08 16:26:00,-4,0
33744,Köln Hbf,RB27,Troisdorf,Mönchengladbach Hbf,2025-08-08 16:25:00,2025-08-08 16:26:00,1,1
30692,Köln Hbf,S6,Düsseldorf Hbf,Köln-Worringen,2025-08-08 16:24:00,2025-08-08 16:25:00,1,1
10562,Köln Hbf,RB25,Köln Hansaring,Lüdenscheid-Brügge,2025-08-08 16:24:00,2025-08-08 16:24:00,0,0
32001,Köln Hbf,S19,Blankenberg(Sieg),Düren,2025-08-08 16:20:00,2025-08-08 16:22:00,2,1
10435,Köln Hbf,RB24,Köln Messe/Deutz,Euskirchen,2025-08-08 16:12:00,2025-08-08 16:20:00,8,1
10564,Köln Hbf,RB25,Köln Hansaring,Gummersbach,2025-08-08 16:54:00,2025-08-08 16:54:00,0,0
33104,Köln Hbf,S11,Düsseldorf Flughafen Terminal,Bergisch Gladbach,2025-08-08 16:07:00,2025-08-08 16:20:00,13,1
10438,Köln Hbf,RB24,Kall,Köln Messe/Deutz,2025-08-08 16:15:00,2025-08-08 16:17:00,2,1
31605,Köln Hbf,S6,Köln-Worringen,Düsseldorf Hbf,2025-08-08 16:17:00,2025-08-08 16:17:00,0,0
10921,Köln Hbf,RE9,Aachen Hbf,Siegen Hbf,2025-08-08 16:23:00,2025-08-08 16:23:00,0,0
89729,Köln Hbf,RE6,Köln/Bonn Flughafen,Minden(Westf),2025-08-08 16:07:00,2025-08-08 16:16:00,9,1
33212,Köln Hbf,S12,Horrem,Hennef(Sieg),2025-08-08 16:11:00,2025-08-08 16:12:00,1,1
33211,Köln Hbf,S12,Hennef(Sieg),Horrem,2025-08-08 16:10:00,2025-08-08 16:12:00,2,1
10553,Köln Hbf,RB25,Gummersbach,Köln Hansaring,2025-08-08 16:07:00,2025-08-08 16:08:00,1,1
1030,Köln Hbf,ICE,Düsseldorf Hbf,Hamburg-Altona,2025-08-08 16:04:00,2025-08-08 16:07:00,3,1
518,Köln Hbf,ICE,München Hbf,Hamburg-Altona,2025-08-08 16:11:00,2025-08-08 16:13:00,2,1
30690,Köln Hbf,S6,Düsseldorf Hbf,Köln-Worringen,2025-08-08 16:04:00,2025-08-08 16:04:00,0,0
26854,Köln Hbf,RE1,Düsseldorf Hbf,Aachen Hbf,2025-08-08 16:04:00,2025-08-08 16:04:00,0,0
31609,Köln Hbf,S6,Köln-Worringen,Düsseldorf Hbf,2025-08-08 16:57:00,2025-08-08 16:58:00,1,1
31096,Köln Hbf,S19,Düren,Au(Sieg),2025-08-08 16:01:00,2025-08-08 16:01:00,0,0
31097,Köln Hbf,S19,Au(Sieg),Düren,2025-08-08 16:00:00,2025-08-08 16:01:00,1,1
33746,Köln Hbf,RE8,Troisdorf,Rommerskirchen,2025-08-08 16:59:00,2025-08-08 16:59:00,0,0
33743,Köln Hbf,RE8,Rommerskirchen,Troisdorf,2025-08-08 16:03:00,2025-08-08 16:03:00,0,0
32005,Köln Hbf,S19,Au(Sieg),Düren,2025-08-08 17:00:00,2025-08-08 17:01:00,1,1
25435,Köln Hbf,RB26,Köln Messe/Deutz,Mainz Hbf,2025-08-08 17:56:00,2025-08-08 17:58:00,2,1
8,Köln Hbf,EC,Zürich HB,Hamburg-Altona,2025-08-08 17:09:00,2025-08-08 17:43:00,34,1
10439,Köln Hbf,RB24,Köln Messe/Deutz,Euskirchen,2025-08-08 17:12:00,2025-08-08 17:12:00,0,0
33113,Köln Hbf,S11,Bergisch Gladbach,Düsseldorf Flughafen Terminal,2025-08-08 17:14:00,2025-08-08 17:21:00,7,1
25430,Köln Hbf,RB26,Mainz Hbf,Köln Messe/Deutz,2025-08-08 17:05:00,2025-08-08 17:44:00,39,1
10559,Köln Hbf,RB25,Gummersbach,Köln Hansaring,2025-08-08 17:07:00,2025-08-08 17:07:00,0,0
929,Köln Hbf,ICE,Dortmund Hbf,Passau Hbf,2025-08-08 17:53:00,2025-08-08 17:55:00,2,1
10042,Köln Hbf,RE22,Kall,Köln Messe/Deutz,2025-08-08 17:42:00,2025-08-08 17:43:00,1,1
89733,Köln Hbf,RE6,Köln/Bonn Flughafen,Minden(Westf),2025-08-08 18:07:00,2025-08-08 18:07:00,0,0
28525,Köln Hbf,RE5,Oberhausen Hbf,Koblenz Hbf,2025-08-08 17:32:00,2025-08-08 17:41:00,9,1
32010,Köln Hbf,S19,Düren,Blankenberg(Sieg),2025-08-08 17:41:00,2025-08-08 17:41:00,0,0
