request_time,line,last_station,line_last,train_id,first_station,planned_departure,current_departure,track,message,train_station,is_delayed,delayed_minutes
2025-08-09 19:03:53.335574+02:00,S19,Düren,S19 Düren,32021,Au(Sieg),2025-08-09 19:00:00+02:00,2025-08-09 19:04:00+02:00,11 B-C,No message,Köln Hbf,1,4
2025-08-09 19:03:53.335574+02:00,S19,Au(Sieg),S19 Au(Sieg),32020,Düren,2025-08-09 19:01:00+02:00,2025-08-09 19:06:00+02:00,10 A-B,No message,Köln Hbf,1,5
2025-08-09 19:03:53.335574+02:00,RE8,Troisdorf,RE8 Troisdorf,33755,Rommerskirchen,2025-08-09 19:03:00+02:00,2025-08-09 19:03:00+02:00,3 D-G,keine Verspätungsbegründung,Köln Hbf,0,0
2025-08-09 19:03:53.335574+02:00,RB26,Köln Messe/Deutz,RB26 Köln Messe/Deutz,25434,Mainz Hbf,2025-08-09 19:05:00+02:00,2025-08-09 19:18:00+02:00,1,Verspätung eines vorausfahrenden Zuges Verspätung eines vorausfahrenden Zuges,Köln Hbf,1,13
2025-08-09 19:03:53.335574+02:00,RE12,Euskirchen,RE12 Euskirchen,4187,Köln Messe/Deutz,2025-08-09 19:05:00+02:00,2025-08-09 19:05:00+02:00,6 D-G,keine Verspätungsbegründung,Köln Hbf,0,0
2025-08-09 19:03:53.335574+02:00,RB25,Köln Hansaring,RB25 Köln Hansaring,10567,Engelskirchen,2025-08-09 19:07:00+02:00,2025-08-09 19:08:00+02:00,11 B-C,No message,Köln Hbf,1,1
2025-08-09 19:03:53.335574+02:00,RE6,Minden(Westf),RE6 Minden(Westf),89735,Köln/Bonn Flughafen,2025-08-09 19:07:00+02:00,2025-08-09 19:07:00+02:00,9 D-G,No message,Köln Hbf,0,0
2025-08-09 19:03:53.335574+02:00,S11,Bergisch Gladbach,S11 Bergisch Gladbach,33128,Dormagen,2025-08-09 19:07:00+02:00,2025-08-09 19:11:00+02:00,10 A-B,technische Störung an einem anderen Zug technische Störung an einem anderen Zug,Köln Hbf,1,4
2025-08-09 19:03:53.335574+02:00,S12,Köln-Ehrenfeld,S12 Köln-Ehrenfeld,33293,Troisdorf,2025-08-09 19:10:00+02:00,2025-08-09 19:11:00+02:00,11 B-C,No message,Köln Hbf,1,1
2025-08-09 19:03:53.335574+02:00,ICE,Hamburg-Altona,ICE Hamburg-Altona,104,Basel SBB,2025-08-09 19:11:00+02:00,2025-08-09 19:13:00+02:00,5,Verspätung im Ausland Verspätung im Ausland keine Verspätungsbegründung,Köln Hbf,1,2
